epic_id,epic_title,phase,epic_priority,story_id,story_title,persona,story_value,story_priority,story_points,depends_on,acceptance_criteria,task_id,task_title,component,task_estimate_days
E0,Engineering Foundation,Sprint 0,P0,US-0001,Bootstrap monorepo,Developer,all apps build from one documented repository,P0,3,,"Repo contains web, core-api, ai-service, worker, infrastructure, docs and tests roots. | Local README documents supported toolchain and startup commands.",US-0001-T01,Create monorepo directories and root conventions,Platform,1
E0,Engineering Foundation,Sprint 0,P0,US-0001,Bootstrap monorepo,Developer,all apps build from one documented repository,P0,3,,"Repo contains web, core-api, ai-service, worker, infrastructure, docs and tests roots. | Local README documents supported toolchain and startup commands.",US-0001-T02,Create Spring Boot Core skeleton,Core,1
E0,Engineering Foundation,Sprint 0,P0,US-0001,Bootstrap monorepo,Developer,all apps build from one documented repository,P0,3,,"Repo contains web, core-api, ai-service, worker, infrastructure, docs and tests roots. | Local README documents supported toolchain and startup commands.",US-0001-T03,Create FastAPI service skeleton,AI,1
E0,Engineering Foundation,Sprint 0,P0,US-0001,Bootstrap monorepo,Developer,all apps build from one documented repository,P0,3,,"Repo contains web, core-api, ai-service, worker, infrastructure, docs and tests roots. | Local README documents supported toolchain and startup commands.",US-0001-T04,Create worker skeleton,Worker,1
E0,Engineering Foundation,Sprint 0,P0,US-0001,Bootstrap monorepo,Developer,all apps build from one documented repository,P0,3,,"Repo contains web, core-api, ai-service, worker, infrastructure, docs and tests roots. | Local README documents supported toolchain and startup commands.",US-0001-T05,Create Next.js web skeleton,Web,1
E0,Engineering Foundation,Sprint 0,P0,US-0001,Bootstrap monorepo,Developer,all apps build from one documented repository,P0,3,,"Repo contains web, core-api, ai-service, worker, infrastructure, docs and tests roots. | Local README documents supported toolchain and startup commands.",US-0001-T06,"Add editorconfig, formatters and lint configs",Platform,1
E0,Engineering Foundation,Sprint 0,P0,US-0002,Local infrastructure with Docker Compose,Developer,run all required local dependencies predictably,P0,5,US-0001,"Docker Compose starts PostgreSQL/pgvector, Redis, RabbitMQ and MinIO. | Health checks make dependency readiness observable. | Local secrets are example-only and not production credentials.",US-0002-T01,Add PostgreSQL pgvector container and init scripts,Platform,1
E0,Engineering Foundation,Sprint 0,P0,US-0002,Local infrastructure with Docker Compose,Developer,run all required local dependencies predictably,P0,5,US-0001,"Docker Compose starts PostgreSQL/pgvector, Redis, RabbitMQ and MinIO. | Health checks make dependency readiness observable. | Local secrets are example-only and not production credentials.",US-0002-T02,"Add Redis, RabbitMQ and MinIO services",Platform,1
E0,Engineering Foundation,Sprint 0,P0,US-0002,Local infrastructure with Docker Compose,Developer,run all required local dependencies predictably,P0,5,US-0001,"Docker Compose starts PostgreSQL/pgvector, Redis, RabbitMQ and MinIO. | Health checks make dependency readiness observable. | Local secrets are example-only and not production credentials.",US-0002-T03,Add health checks and named volumes,Platform,1
E0,Engineering Foundation,Sprint 0,P0,US-0002,Local infrastructure with Docker Compose,Developer,run all required local dependencies predictably,P0,5,US-0001,"Docker Compose starts PostgreSQL/pgvector, Redis, RabbitMQ and MinIO. | Health checks make dependency readiness observable. | Local secrets are example-only and not production credentials.",US-0002-T04,Create .env.example and configuration docs,Platform,1
